NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06629597,A Phase III Study of YL201 in Recurrent or Metastatic Nasopharyngeal Carcinoma,https://clinicaltrials.gov/study/NCT06629597,NOT_YET_RECRUITING,Nasopharyngeal Carcinoma,DRUG: YL201|DRUG: Docetaxel|DRUG: Capecitabine|DRUG: Gemcitabine,"MediLink Therapeutics (Suzhou) Co., Ltd.",,INTERVENTIONAL
NCT06629584,Phase II Study of Asciminib for Second-line Treatment of Chronic Phase Chronic Myeloid Leukemia,https://clinicaltrials.gov/study/NCT06629584,NOT_YET_RECRUITING,Malignant Solid Tumors,DRUG: Asciminib,M.D. Anderson Cancer Center,Novartis,INTERVENTIONAL
NCT06629571,The Effect of Preoperative Education on Anxiety,https://clinicaltrials.gov/study/NCT06629571,COMPLETED,Surgery|Anxiety,OTHER: Education,Marmara University,,INTERVENTIONAL
NCT06629558,Bronchoscopic Lung Volume Reduction in Management of Localized Emphysema,https://clinicaltrials.gov/study/NCT06629558,RECRUITING,Bronchoscopic Lung Volume Reduction,DRUG: Silver Nitrate|DRUG: Nano-silver nitrate|DEVICE: Bronchoscopic lung volume reduction,Mansoura University Hospital,,INTERVENTIONAL
NCT06629545,"The Efficacy of Two Different Irrigation Methods on PGE2, NO and IL-6 Levels",https://clinicaltrials.gov/study/NCT06629545,COMPLETED,Apical Periodontitis|Inflammatory Markers,OTHER: irrigation activation with PUI|OTHER: irrigation with sonic activation,Istanbul Medipol University Hospital,,INTERVENTIONAL
NCT06629532,The REgistry Study on Multimodality trEAtment foR Cerebral Hemorrhage,https://clinicaltrials.gov/study/NCT06629532,NOT_YET_RECRUITING,Intracerebral Hemorrhage,"OTHER: medical management, surgical interventions, and rehabilitative strategies",Tao Liu,"Tianjin Medical University General Hospital|Xuanwu Hospital, Beijing",OBSERVATIONAL
NCT06629519,[Trial of device that is not approved or cleared by the U.S. FDA],https://clinicaltrials.gov/study/NCT06629519,WITHHELD,,,[Redacted],,
NCT06629506,MicroMatrix® Flex in Tunneling Wounds,https://clinicaltrials.gov/study/NCT06629506,NOT_YET_RECRUITING,Pressure Injury|Venous Ulcer|Necrotizing Soft Tissue Infection|Diabetic Ulcers|Draining Wound,DEVICE: MicroMatrix® Flex|DEVICE: MicroMatrix® UBM Particulate|DEVICE: Cytal® Wound Matrix 2-Layer,Integra LifeSciences Corporation,,INTERVENTIONAL
NCT06629493,Feasibility and Effects of Activity Trackers Among Alcohol Users Receiving In-patient Treatment for Alcohol Use Disorder,https://clinicaltrials.gov/study/NCT06629493,RECRUITING,Substance-Related Disorders|Alcohol-Related Disorders|Alcohol Use Disorder (AUD),BEHAVIORAL: Fitbit Versa 3|BEHAVIORAL: In-patient alcohol use disorder treatment,University of Oviedo,,INTERVENTIONAL
NCT06629480,Incidence of Metabolic Syndrome in People Living With HIV Without ExperienCe to ART Who Start DoLutegravir Based-Regimen Compared With BictegrAvir Based-RegimeN,https://clinicaltrials.gov/study/NCT06629480,COMPLETED,Antiretroviral Treatment|HIV Infection|Metabolic Cardiovascular Syndrome,DRUG: Bictegravir,Instituto Mexicano del Seguro Social,,INTERVENTIONAL
NCT06629467,Cognitive Behavioral Treatment with Activity Trackers for Smoking Cessation,https://clinicaltrials.gov/study/NCT06629467,RECRUITING,Tobacco Use Cessation|Physical Activity,BEHAVIORAL: Cognitive-behavioral therapy for smoking cessation|BEHAVIORAL: Personalized PA plan|DEVICE: Fitbit Versa 3,University of Oviedo,,INTERVENTIONAL
NCT06629454,Digital Incentive Spirometry Adherence,https://clinicaltrials.gov/study/NCT06629454,NOT_YET_RECRUITING,Pulmonary Function|Incentive Spirometry|Patient Adherence|Lung Resection|Thoracic Surgery,DEVICE: Adherence to digital incentive spirometer in the postop period after major chest surgery.,University of Pennsylvania,,INTERVENTIONAL
NCT06629441,Effectiveness and Safety of Probiotics in Relieving Anxiety and Depression,https://clinicaltrials.gov/study/NCT06629441,ACTIVE_NOT_RECRUITING,Anxiety Depression,DIETARY_SUPPLEMENT: Probiotic group|DIETARY_SUPPLEMENT: Placebo group,"Wecare Probiotics Co., Ltd.",,INTERVENTIONAL
NCT06629428,Effects of Ublituximab on Motor Functions in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT06629428,NOT_YET_RECRUITING,Multiple Sclerosis (MS) - Relapsing-remitting,DRUG: Ublituximab,Georgia State University,Atlanta Neuroscience Institute,INTERVENTIONAL
NCT06629415,Using Indocyanine Green (ICG) to Outline Biliary Tree During Laparoscopic Cholecystectomy,https://clinicaltrials.gov/study/NCT06629415,COMPLETED,Chronic Calculous Cholecystitis|Laparoscopic Cholecystectomy,DRUG: Indocyanine Green|DRUG: Indocyanine Green Drug,Theodor Bilharz Research Institute,,INTERVENTIONAL
NCT06629402,Assessment of PF614 Effects on Experimental Pain in the Cold Pressure Test (PF614-201),https://clinicaltrials.gov/study/NCT06629402,COMPLETED,Acute Pain,DRUG: PF614|DRUG: Placebo,Ensysce Biosciences,Dr. Vince Clinical Research,INTERVENTIONAL
NCT06629389,Clinical Trial with Cannabidiol (Kanbis®) for Parkinson Disease Symptoms,https://clinicaltrials.gov/study/NCT06629389,NOT_YET_RECRUITING,Parkinson Disease,DRUG: Cannabidiol 100 mg/ml|DRUG: cannabidiol 300 mg/ml|DRUG: Cannabidiol 400 mg/ml|DRUG: Placebo,Laboratorio Elea Phoenix S.A.,,INTERVENTIONAL
NCT06629376,"Safety, Tolerability, and Pharmacokinetic Characteristics of SSS11 in Patients With Gout and Hyperuricemia",https://clinicaltrials.gov/study/NCT06629376,RECRUITING,Gout|Hyperuricemia,DRUG: Pegylated Recombinant Candida Utilis Uricase for Injection,"Shenyang Sunshine Pharmaceutical Co., LTD.",,INTERVENTIONAL
NCT06629363,Creation of a Biobank of Biological Samples from Patients with Malignant Hypertension,https://clinicaltrials.gov/study/NCT06629363,NOT_YET_RECRUITING,Malignant Hypertension,OTHER: biobank,Centre Hospitalier de PAU,,OBSERVATIONAL
NCT06629350,ASA Prediction Using Health Data and Medication Use,https://clinicaltrials.gov/study/NCT06629350,NOT_YET_RECRUITING,ASA-PS Classification,,Erasmus Medical Center,Health Holland,OBSERVATIONAL
NCT06629337,Effect of Aerobic Exercise with Blood Flow Restriction on Post-exercise Hypotension in Young Adults: the Role of Histamine Receptors,https://clinicaltrials.gov/study/NCT06629337,COMPLETED,Prehypertension (elevated Blood Pressure) or Hypertension,"GENETIC: H1 receptor blockade: 540 mg (Allegra), H2 receptor blockade: 40 mg (Pepcid AC)",California Baptist University,,INTERVENTIONAL
NCT06629324,Evaluating Bone Marrow Cell Transplant for Treating Cerebral Palsy from Brain Hypoxia: a Phase II Clinical Trial,https://clinicaltrials.gov/study/NCT06629324,NOT_YET_RECRUITING,Autism Spectrum Disorder,BIOLOGICAL: Autologous Bone Marrow Mononuclear Cell Transfusion|OTHER: Rehabilitation,Vinmec Research Institute of Stem Cell and Gene Technology,,INTERVENTIONAL
NCT06629311,Platelet and Autotransfusion Device in Cardiac Surgery,https://clinicaltrials.gov/study/NCT06629311,NOT_YET_RECRUITING,Platelets|Autotransfusion Device,DEVICE: Autotransfusion device,"University Hospital, Strasbourg, France",,OBSERVATIONAL
NCT06629298,Effects of Stochastic Whole-body Vibration Training on Balance and Executive Functions,https://clinicaltrials.gov/study/NCT06629298,COMPLETED,Healthy,OTHER: 5Hz Stochastic Resonance Whole-Body Vibration Training|OTHER: 2 Hz Stochastic Resonance Whole-Body Vibration Training,University of Bern,,INTERVENTIONAL
NCT06629285,Effectiveness Comparison Between Continuous Cryotherapy and Ice Pack Therapy After Anterior Cruciate Ligament Reconstruction Surgery,https://clinicaltrials.gov/study/NCT06629285,COMPLETED,"Postoperative Pain, Acute|Anterior Cruciate Ligament Injuries|Cryotherapy Effect",PROCEDURE: Continuous compression cryotherapy|PROCEDURE: Conventional ice treatment,University Medical Center Ho Chi Minh City (UMC),,INTERVENTIONAL
NCT06629272,Optimizing Care for Older Adults Through Thyroid Hormone Deprescribing,https://clinicaltrials.gov/study/NCT06629272,NOT_YET_RECRUITING,Hypothyroidism,BEHAVIORAL: D-THIO (Deprescribing Thyroid Hormone In Older Adults)|BEHAVIORAL: Enhanced usual care,University of Michigan,National Institute on Aging (NIA),INTERVENTIONAL
NCT06629259,Guanfacine for Alcohol Use Disorder (AUD),https://clinicaltrials.gov/study/NCT06629259,NOT_YET_RECRUITING,Alcohol Use Disorder,DRUG: Guanfacine Extended Release (XR)|DRUG: Placebo,Indiana University,National Institute on Alcohol Abuse and Alcoholism (NIAAA),INTERVENTIONAL
NCT06629246,Pogejiuxin Decoction Combination of Conventional Western Medicine for the Treatment of Heart Failure with Preserved Ejection Fraction,https://clinicaltrials.gov/study/NCT06629246,COMPLETED,"Heart Failure, Diastolic (HFpEF)",DRUG: Conventional heart failure treatment|DRUG: Pogejiuxin decoction combined with conventional heart failure treatment,Chongqing Traditional Chinese Medicine Hospital,Chongqing Science and Technology Commission|Chongqing Health and Family Planning Commission,INTERVENTIONAL
NCT06629233,"Evaluation of a Novel Technique for the Discovery of New, Tumor-specific Targets for the Deployment of Innovative Immunotherapeutics Against Cancer.",https://clinicaltrials.gov/study/NCT06629233,ENROLLING_BY_INVITATION,Estrogen Receptor Positive Breast Cancer,PROCEDURE: Tumor resection,University Ghent,"University Hospital, Ghent|Algemeen Ziekenhuis Maria Middelares",INTERVENTIONAL
NCT06629220,Co-creation of Tools for Men with Suicidal Thoughts And/or Behavior,https://clinicaltrials.gov/study/NCT06629220,NOT_YET_RECRUITING,Suicide Prevention|Suicidal Ideation|Suicidal Behaviour,OTHER: Tools,University Ghent,,INTERVENTIONAL
NCT06629207,Artificial Intelligence in Molecular Imaging: Predicting Parkinson's Risk in REM Sleep Behavior Disorder,https://clinicaltrials.gov/study/NCT06629207,RECRUITING,"Parkinson Disease|REM Sleep Behavior Disorder|Dementia, Lewy Body",DEVICE: PET/CT with 18-FDG|DEVICE: SPECT : 123 I-FP-CIT (DATSCAN)|DEVICE: MRI,"Insel Gruppe AG, University Hospital Bern",,INTERVENTIONAL
NCT06629194,Validation of Scoring Systems for Differentiating Intestinal Tuberculosis from Crohn's Disease,https://clinicaltrials.gov/study/NCT06629194,RECRUITING,Crohn Disease|Intestinal Tuberculosis|Differential Diagnosis,DIAGNOSTIC_TEST: interferon gamma releasing assay (IGRA),Mahidol University,Korean Association for the Study of Intestinal Diseases,OBSERVATIONAL
NCT06629181,E-Health Literacy and Health Seeking Behavior in the Elderly,https://clinicaltrials.gov/study/NCT06629181,ACTIVE_NOT_RECRUITING,"Health Services, Geriatric",OTHER: Education,Necmettin Erbakan University,,INTERVENTIONAL
NCT06629168,The Usage of Telemetric Prechamber Sensor Reservoir in Management of Normal Pressure Hydrocephalus. Comparisson of Benefit for Patients with Implanted Telemetric Prechamber Sensor Reservoir.,https://clinicaltrials.gov/study/NCT06629168,ACTIVE_NOT_RECRUITING,Hydrocephalus|Normal Pressure Hydrocephalus|Normal Pressure Hydrocephalus Patients,DIAGNOSTIC_TEST: lumbar puncture|DIAGNOSTIC_TEST: External lumbar drainage|PROCEDURE: Ventriculo-peritoneal shunt placement|DIAGNOSTIC_TEST: Follow-up control #1|DIAGNOSTIC_TEST: Follow-up control #2|DIAGNOSTIC_TEST: Follow-up control #3|DIAGNOSTIC_TEST: Follow-up control #4|DIAGNOSTIC_TEST: Telemetric prechamber reading|OTHER: Valve setting change,University Hospital Hradec Kralove,,OBSERVATIONAL
NCT06629155,Studying Eye Movement Deficits and Cognitive Impairment in Patients with Multiple Sclerosis Using Infrared Eye Tracking and Cognitive Tests,https://clinicaltrials.gov/study/NCT06629155,NOT_YET_RECRUITING,Multiple Sclerosis|Internuclear Ophthalmoplegia,DIAGNOSTIC_TEST: Infrared oculography,Universitair Ziekenhuis Brussel,,OBSERVATIONAL
NCT06629142,Comparing Optimized Models of Primary And Specialist Services for Palliative Care: Pilot Feasibility Trial,https://clinicaltrials.gov/study/NCT06629142,RECRUITING,Seriously Ill Hospitalized Patients,BEHAVIORAL: Default Order|BEHAVIORAL: Accountable Justification|BEHAVIORAL: Standardized Usual Care,University of Pennsylvania,Duke Clinical Research Institute,INTERVENTIONAL
NCT06629129,Effect of Latanoprost on Optic Nerve Perfusion,https://clinicaltrials.gov/study/NCT06629129,COMPLETED,Treatment Outcome,DRUG: Latanoprost (0.005%),Zagazig University,,INTERVENTIONAL
NCT06629116,Study on the Role of Human Serum Albumin in Large Acute Ischemic Stroke of Anterior Circulation After Thrombectomy,https://clinicaltrials.gov/study/NCT06629116,RECRUITING,Cerebral Ischemia,"DRUG: Patients with AIS receive intravascular therapy, and within 10 minutes after the surgery, they are administered 100ml of 20% human albumin intravenously (infused within 30 minutes).",Tingyu-Yi,,INTERVENTIONAL
NCT06629103,A Study in Healthy Subjects to Compare the Bioavailability of EPA + DHA,https://clinicaltrials.gov/study/NCT06629103,NOT_YET_RECRUITING,Optimal Absorption of Omega-3|Healthy,DIETARY_SUPPLEMENT: life's Omega 1035DS|DIETARY_SUPPLEMENT: Fish Oil|OTHER: Placebo|DIETARY_SUPPLEMENT: life's Omega O3020DS,RDC Clinical Pty Ltd,,INTERVENTIONAL
NCT06629090,Brain Blood Vessel Responses to Changes in Blood Flow,https://clinicaltrials.gov/study/NCT06629090,NOT_YET_RECRUITING,Magnetic Resonance Imaging|Cerebrovascular Circulation,DEVICE: MRI|DRUG: Prazosin|DRUG: Placebo,"University of Wisconsin, Madison",,INTERVENTIONAL
NCT06629077,Brain Blood Vessel Responses to Changes in Blood Flow,https://clinicaltrials.gov/study/NCT06629077,NOT_YET_RECRUITING,Magnetic Resonance Imaging|Cerebrovascular Circulation,DEVICE: MRI|DRUG: Prazosin|DRUG: Placebo,"University of Wisconsin, Madison",National Institute of Neurological Disorders and Stroke (NINDS),INTERVENTIONAL
NCT06629064,Cognitive Control Training for Extinction in PTSD,https://clinicaltrials.gov/study/NCT06629064,RECRUITING,"Post-Traumatic Stress Disorders|Stress Disorders, Traumatic|Post Traumatic Stress Disorder|PTSD|Trauma and Stressor Related Disorders",BEHAVIORAL: Working Memory Training|OTHER: Sham Training,VA Office of Research and Development,,INTERVENTIONAL
NCT06629051,6-year Follow-up Data After the Berberine Intervention Trial,https://clinicaltrials.gov/study/NCT06629051,RECRUITING,Colorectal Adenoma|Colorectal Cancer Control and Prevention|Colorectal Polyps,DRUG: Berberine Hydrochloride|DRUG: Placebo,Shanghai Jiao Tong University School of Medicine,"Seventh Medical Center of PLA Army General Hospital|Zhongshan Hospital Xiamen University|Nanfang Hospital, Southern Medical University|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School|Tianjin Medical University General Hospital|the Tenth People's Hospital affiliated to Tongji University",OBSERVATIONAL
NCT06629038,"Estimating Jaw, Neck, and Shoulder Range of Motion Using an AI Model",https://clinicaltrials.gov/study/NCT06629038,NOT_YET_RECRUITING,Oral Cancer,BEHAVIORAL: observation alone,National Taiwan University Hospital,,OBSERVATIONAL
NCT06629025,The Clinical Manifestation and Prognosis of Pediatric Esophageal Motility Disorders,https://clinicaltrials.gov/study/NCT06629025,COMPLETED,Esophageal Motility Disorders,DIAGNOSTIC_TEST: High-resolution impedance manometry,National Taiwan University Hospital,,OBSERVATIONAL
NCT06629012,Autologous Nerve Graft Breast Reconstruction Neurotization,https://clinicaltrials.gov/study/NCT06629012,ACTIVE_NOT_RECRUITING,Breast Reconstruction|Breast Cancer Patients|Nipple-sparing Mastectomy,PROCEDURE: Breast reconstruction with neurotization|PROCEDURE: Breast reconstruction without neurotization,Chang Gung Memorial Hospital,,OBSERVATIONAL
NCT06628999,Perceptual-vision Training and Intellectual Disabilities,https://clinicaltrials.gov/study/NCT06628999,NOT_YET_RECRUITING,"Intellectual Disability|Intellectual Impairment|Activity, Motor|Sports Physical Therapy",OTHER: Visual Training|OTHER: Control Group|OTHER: Visual Training-detraining,Università degli Studi dell'Insubria,,INTERVENTIONAL
NCT06628986,"MBSR and NLP, Postpartum Breastfeeding and Depression",https://clinicaltrials.gov/study/NCT06628986,RECRUITING,"Breastfeeding, Exclusive|Fatigue|Sleep|Postpartum Depression",BEHAVIORAL: MBSR|BEHAVIORAL: NLP|BEHAVIORAL: control,Aysegul Kilicli,,INTERVENTIONAL
NCT06628973,Social Prescribing to Improve Adherence and Outcomes in Women With Heart Failure,https://clinicaltrials.gov/study/NCT06628973,NOT_YET_RECRUITING,Heart Failure|Cardiac Failure|Heart Decompensation|Congestive Heart Failure(CHF)|Myocardial Failure,BEHAVIORAL: Social prescribing,McGill University Health Centre/Research Institute of the McGill University Health Centre,Canadian Institutes of Health Research (CIHR),INTERVENTIONAL
NCT06628960,Effect of Su Jok Therapy on Breastfeeding,https://clinicaltrials.gov/study/NCT06628960,RECRUITING,Breastfeeding,BEHAVIORAL: Su Jok Therapy,Aysegul Kilicli,,INTERVENTIONAL
NCT06628947,A Phase II Study of Intravitreal KIO-301 in Patients with Late-stage Retinitis Pigmentosa,https://clinicaltrials.gov/study/NCT06628947,NOT_YET_RECRUITING,Retinitis Pigmentosa,OTHER: Placebo (Sterile Saline)|DRUG: 100 μg KIO-301|DRUG: 50 μg KIO-301,"Kiora Pharmaceuticals, Inc.",,INTERVENTIONAL
NCT06628934,Wearable Gait Sensors,https://clinicaltrials.gov/study/NCT06628934,RECRUITING,Spinocerebellar Ataxia,,University of Chicago,,OBSERVATIONAL
NCT06628921,The Effectiveness of Eptinezumab During a Migraine Attack (the BE-FREE Study): a TACHIS Sub-study,https://clinicaltrials.gov/study/NCT06628921,NOT_YET_RECRUITING,Migraine,DRUG: Eptinezumab 100 or 300 mg ev,University of Florence,Società italiana per lo studio delle Cefalee (SISC)|Fondazione Policlinico Universitario Campus Bio-Medico|Azienda Ospedaliero Universitaria Policlinico Modena|SISC RICe Group,OBSERVATIONAL
NCT06628908,Evaluation of Efficacy and Safety of Suzetrigine for Pain Associated With Diabetic Peripheral Neuropathy,https://clinicaltrials.gov/study/NCT06628908,RECRUITING,Diabetic Peripheral Neuropathic Pain,DRUG: Suzetrigine|DRUG: Pregabalin|DRUG: Placebo (matched to SUZ)|DRUG: Placebo (matched to Pregabalin),Vertex Pharmaceuticals Incorporated,,INTERVENTIONAL
NCT06628895,"Effect of Modified Poco-Poco Exercise to Frailty Stages, Expression of Global DNA Methylation, GDF15 and Lamin A COP",https://clinicaltrials.gov/study/NCT06628895,ACTIVE_NOT_RECRUITING,Frail Elderly,OTHER: EXERCISE TRAINING WITH OR WITHOUT MEDICATION,Universitas Padjadjaran,Indonesia Endowment Fund for Education Agency,INTERVENTIONAL
NCT06628882,Comparison of Infraclavicular Block and Wide-Awake Local Anesthesia With No Tourniquet for Hand Surgery,https://clinicaltrials.gov/study/NCT06628882,COMPLETED,"Anesthesia, Local|Hand Deformity",PROCEDURE: Infraclavicular Block|PROCEDURE: Wide-Awake Local Anesthesia with No Tourniquet,Uludag University,,INTERVENTIONAL
NCT06628869,The Effects of Oral Fructanase Administration on Gastrointestinal Symptoms After Inulin Challenge in Healthy Adults,https://clinicaltrials.gov/study/NCT06628869,ACTIVE_NOT_RECRUITING,Digestive Health|Gastrointestinal Health|FODMAP Intolerance|Food Sensitivity,DIETARY_SUPPLEMENT: Fructanase|DIETARY_SUPPLEMENT: Maltodextrin placebo,"BIO-CAT, Inc.","Biofortis, Inc.",INTERVENTIONAL
NCT06628856,Quality of Life of the Piloted Individuals and a Cost-efficiency Analysis,https://clinicaltrials.gov/study/NCT06628856,COMPLETED,Terminal Illness,OTHER: Quality of life,Universidad de Burgos,,INTERVENTIONAL
NCT06628843,Twin Vaginal Breech Deliveries Before and After Starting Training Skills on Simulator,https://clinicaltrials.gov/study/NCT06628843,ACTIVE_NOT_RECRUITING,Cearean Section Rate|Maternal Adverse Outcomes|Neonatal Adverse Outcomes,OTHER: cesarean section rate,G. d'Annunzio University,,OBSERVATIONAL
NCT06628830,Efficacy of a Mobile Phone App for Depression and Anxiety in College Students,https://clinicaltrials.gov/study/NCT06628830,ENROLLING_BY_INVITATION,Depressive Symptoms|Anxiety Symptoms,DEVICE: VamosJuntxs App|OTHER: Web Conciencia Saludable,University of Chile,"University of Talca|Universidad de los Andes, Chile|Universidad Austral de Chile|Millennium Nucleus to Improve the Mental Health of Adolescents and Youths (Imhay) NCS2021_081",INTERVENTIONAL
NCT06628817,The Intensive Care Bundle with Mortality Reduction in Acute Ischemic Stroke Trial,https://clinicaltrials.gov/study/NCT06628817,NOT_YET_RECRUITING,Acute Ischemic Stroke,RADIATION: The Intensive Care Bundle with Mortality Reduction,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL
NCT06628804,Artemisia and Green Tea Extracts for Gastric Mucosal Health,https://clinicaltrials.gov/study/NCT06628804,ENROLLING_BY_INVITATION,Functional Dysphonia,DIETARY_SUPPLEMENT: Artemisia and green tea extracts|DIETARY_SUPPLEMENT: Placebo,Pusan National University Yangsan Hospital,,INTERVENTIONAL
NCT06628791,BK329 and Body Fat Reduction,https://clinicaltrials.gov/study/NCT06628791,ENROLLING_BY_INVITATION,Obesity and Overweight,DIETARY_SUPPLEMENT: BK329|DIETARY_SUPPLEMENT: Placebo,Pusan National University Yangsan Hospital,,INTERVENTIONAL
NCT06628778,Collaborative Risk-stratified Investigation in Teen Inpatients With Critical Illness: Anticoagulation With LMWH in Kids for ThromboProphylaxis (CRITICAL-Kids-TP),https://clinicaltrials.gov/study/NCT06628778,NOT_YET_RECRUITING,Venous Thromboembolism (VTE),DRUG: Dalteparin,Johns Hopkins All Children's Hospital,"University of California, San Diego",INTERVENTIONAL
NCT06628765,Two Types of Single-use Flexible Ureteroscopies for the Treatment of Upper Urinary Tract Stones in Children,https://clinicaltrials.gov/study/NCT06628765,RECRUITING,Urinary Stone,"DEVICE: 8.6 Fr single-use fURS (XFGC-FU-660RC)|DEVICE: 6.3 Fr single-use fURS (Hugemed, HU30S)",The Children's Hospital of Zhejiang University School of Medicine,,INTERVENTIONAL
NCT06628752,Deep Brain Stimulation for Obsessive-compulsive Disorder,https://clinicaltrials.gov/study/NCT06628752,RECRUITING,Obsessive-Compulsive Disorder,DEVICE: Deep brain stimulation,Umeå University,Region Västerbotten,INTERVENTIONAL
NCT06628739,Correlation Between Imatinib Trough Concentration and Efficacy in Advanced GIST Patients with Different Genotypes,https://clinicaltrials.gov/study/NCT06628739,COMPLETED,"Gastrointestinal Stromal Tumor, Malignant",DRUG: Imatinib,"First Affiliated Hospital, Sun Yat-Sen University",,OBSERVATIONAL
NCT06628726,Liver Biopsy in Diagnosis Neonatal Jaundice,https://clinicaltrials.gov/study/NCT06628726,NOT_YET_RECRUITING,Neonatal Cholestasis|Neonatal Jaundice,DIAGNOSTIC_TEST: Liver biopsy,Assiut University,,INTERVENTIONAL
NCT06628713,Treatment of Angioedema Attacks in Adolescent and Adult Patients 12 Years and Older With HAE Type I or II With Sebetralstat,https://clinicaltrials.gov/study/NCT06628713,AVAILABLE,Hereditary Angioedema,DRUG: Sebetralstat,"KalVista Pharmaceuticals, Ltd.",,EXPANDED_ACCESS
NCT06628700,Burden Fatty Liver Among Acute Ischemic Cerebral Stroke Patients,https://clinicaltrials.gov/study/NCT06628700,NOT_YET_RECRUITING,Fatty Liver|Acute Ischemic Cerebral Stroke,,Assiut University,,OBSERVATIONAL
NCT06628687,SKYCLARYS® (Omaveloxolone) Pregnancy and Lactation Surveillance Program,https://clinicaltrials.gov/study/NCT06628687,RECRUITING,Friedreich Ataxia,DRUG: Omaveloxolone,"Reata, a wholly owned subsidiary of Biogen",,OBSERVATIONAL
NCT06628674,Developing and Testing the Effect of Online Interactive Videos in Improving Low Anterior Resection Syndrome.,https://clinicaltrials.gov/study/NCT06628674,NOT_YET_RECRUITING,Rectal Cancer,BEHAVIORAL: core muscle exercise|BEHAVIORAL: pelvic muscle exercise,Chang Gung Memorial Hospital,,INTERVENTIONAL
NCT06628661,Ten-Year Outcomes of Operable Solitary Hepatocellular Carcinoma Patients: Impact of Tumor Size Over 6.5 Cm and Microvascular Invasion,https://clinicaltrials.gov/study/NCT06628661,RECRUITING,Hepatocellular Carcinoma (HCC)|Solitary Mass,PROCEDURE: Surgery for HCC larger than 6.5 cm|PROCEDURE: Surgery for HCC larger than 2 cm,Chang Gung Memorial Hospital,,OBSERVATIONAL
NCT06628648,Hypertension as a Reason for Concellation of Elective Minor Abdominal Surgery,https://clinicaltrials.gov/study/NCT06628648,RECRUITING,Hypertension Secondary|Surgery,,University Tunis El Manar,,OBSERVATIONAL
NCT06628635,Examining Different Modes of Exercise for Acute Reduction in Blood Pressure,https://clinicaltrials.gov/study/NCT06628635,COMPLETED,Hypertension,BEHAVIORAL: Exercise|BEHAVIORAL: Resting,University of Saskatchewan,,INTERVENTIONAL
NCT06628622,A Study to Test Whether BI 1356225 Improves Impulsive Behavior in Men With Opioid Use Disorder Who Are Taking Buprenorphine,https://clinicaltrials.gov/study/NCT06628622,NOT_YET_RECRUITING,Opioid Use Disorder,DRUG: BI 1356225|DRUG: Placebo,Boehringer Ingelheim,,INTERVENTIONAL
NCT06628609,"Post-exercise Therapeutic Modalities on Functional Performance, Muscle Damage and Oxidative Stress of CrossFit® Athletes",https://clinicaltrials.gov/study/NCT06628609,COMPLETED,Exercise Recovery,OTHER: Passive recovery|DEVICE: PBMT-sMF|DEVICE: Shock wave|DEVICE: Pneumatic compression,University of Nove de Julho,,INTERVENTIONAL
NCT06628596,Acute Effects of Paraxanthine on Energy and Focus,https://clinicaltrials.gov/study/NCT06628596,COMPLETED,Cognition|Appetite|Mental Energy|Dietary Supplement,DIETARY_SUPPLEMENT: Paraxanthine 200mg and 300mg,Iovate Health Sciences International Inc,,INTERVENTIONAL
NCT06628583,Multivariate Analysis and Risk Factors Were Used to Predict the Short-term Postoperative Pain of Degenerative Lumbar Spine,https://clinicaltrials.gov/study/NCT06628583,COMPLETED,Lumbar Disc Herniation|Lumbar Degenerative Disease|Sarcopenia,OTHER: Magnetic Resonance Imaging with Contrast,Hao Liu,,OBSERVATIONAL
NCT06628570,Screening Strategies for People with a High Risk of Anal Cancer,https://clinicaltrials.gov/study/NCT06628570,NOT_YET_RECRUITING,Neoplasms|HPV-Related Anal Squamous Cell Carcinoma,DIAGNOSTIC_TEST: HRA + Biopsy|DIAGNOSTIC_TEST: Anal Cytology|DIAGNOSTIC_TEST: Genotyping of anal hrHPV infection|DIAGNOSTIC_TEST: CINtec®PLUS,Lisa Flowers,National Cancer Institute (NCI),OBSERVATIONAL
NCT06628557,The Effect of Mandala Art Therapy on Anxiety and Pain,https://clinicaltrials.gov/study/NCT06628557,RECRUITING,Total Hip Replacement,OTHER: The Effect of Mandala Art Therapy on Anxiety and Pain in Patients,Seval Ulubay,,INTERVENTIONAL
NCT06628544,Trained Immunity in Fungal Infection and Its Mechanism,https://clinicaltrials.gov/study/NCT06628544,COMPLETED,BCG Vaccination,BIOLOGICAL: BCG vaccination|DRUG: Metformin is administered on the day 0|OTHER: Placebo|DRUG: Metformin is administered on the day 9|DRUG: Metformin is administered on the day 85,Zhongnan Hospital,,INTERVENTIONAL
NCT06628531,SLI & Pulmonary HA Deposition After SAH,https://clinicaltrials.gov/study/NCT06628531,NOT_YET_RECRUITING,Subarachnoid Haemorrhage (SAH),,Tianjin Medical University,,OBSERVATIONAL
NCT06628518,FAmily Oriented Mindfulness Informed Legal Education (FAMiLE) Programme for Parent or Carers Affected by Incarceration and Improving Parenting in Nigeria,https://clinicaltrials.gov/study/NCT06628518,NOT_YET_RECRUITING,Trauma|Depression|Anxiety|Parenting Intervention,BEHAVIORAL: FAmily oriented Mindfulness informed Legal Education (FAMiLE),Teesside University,University of Manchester|Jos University Teaching Hospital,INTERVENTIONAL
